frame_number,head_count,bounding_boxes,confidence_scores
1,1,"[[232, 161, 797, 599]]",[0.7776638865470886]
1,1,"[[235, 168, 798, 599]]",[0.8732074499130249]
2,1,"[[234, 167, 798, 599]]",[0.8424903154373169]
3,1,"[[233, 167, 798, 599]]",[0.862119197845459]
4,1,"[[234, 167, 798, 599]]",[0.8535151481628418]
5,1,"[[235, 167, 798, 599]]",[0.8719788193702698]
6,1,"[[235, 168, 798, 599]]",[0.8776542544364929]
7,1,"[[235, 168, 798, 599]]",[0.8891445994377136]
8,1,"[[234, 167, 798, 599]]",[0.8435897827148438]
9,1,"[[234, 168, 798, 599]]",[0.8837505578994751]
10,1,"[[234, 167, 798, 599]]",[0.8855511546134949]
11,1,"[[236, 167, 798, 599]]",[0.8640385270118713]
12,1,"[[233, 166, 798, 599]]",[0.8863348364830017]
13,1,"[[234, 166, 798, 599]]",[0.8651466965675354]
14,1,"[[235, 166, 798, 599]]",[0.8926079273223877]
15,1,"[[238, 166, 798, 599]]",[0.8968332409858704]
16,1,"[[232, 166, 798, 599]]",[0.8682639598846436]
17,1,"[[236, 165, 798, 599]]",[0.8879048228263855]
18,1,"[[236, 165, 799, 599]]",[0.8900091052055359]
19,1,"[[234, 166, 798, 599]]",[0.8766787648200989]
